train_nme,train_loss,val_nme,val_loss,curr_epoch
4.208867184858906,0.86507833,2.0510337584144933,0.7717173,0
1.7927020015202995,0.73397905,1.801465542647482,0.66166294,1
1.5956888810995076,0.62712777,1.8587451972669846,0.5316845,2
1.5008089935430329,0.53177357,1.760237152877136,0.47805613,3
1.4394139926480982,0.44620004,1.7856216812059231,0.399567,4
1.3815008727363878,0.36951914,1.9256024380139718,0.33302465,5
1.3266543416854415,0.3012002,2.0041929968138708,0.27391738,6
1.2903789830923793,0.24100609,2.038566709151577,0.21636292,7
1.2587422767331524,0.18851587,2.3128314763246762,0.1661503,8
1.2236952160552836,0.14344364,1.7315438502591274,0.12235889,9
1.1987497179347537,0.105492465,1.7788741869785678,0.09015687,10
1.1748876920660638,0.07437479,1.8660774549984198,0.060383677,11
1.159764316376795,0.049686477,1.7538057953886597,0.03963184,12
1.1456674172199839,0.030913696,1.7197719764494481,0.024167748,13
1.1174559674208577,0.017494954,1.7119084835587954,0.012802166,14
1.0958247954377582,0.008701496,1.661871772060261,0.0062314305,15
1.071189099905492,0.0036416887,1.6819430397619208,0.0027501585,16
1.0516237047441304,0.0012424382,1.79645995641387,0.0011797524,17
1.0357767474765482,0.00038840692,1.842979805855681,0.0007129333,18
1.0312004921675852,0.00018840862,1.784386799966926,0.0006148416,19
1.0298938811991452,0.00016461338,1.7125358340047592,0.0006200778,20
1.0439052356968852,0.0001752289,1.7261627800198236,0.0006223304,21
1.0749398766302887,0.00019853115,1.7007627657497624,0.0006060019,22
1.0944308812407328,0.0002148765,1.8584834688240734,0.0006010369,23
1.0961704603156062,0.00021733549,1.7808867742518157,0.0006000909,24
1.0830228599281526,0.00020534304,1.6844360952578106,0.0006551795,25
1.0598267924507518,0.00018680496,1.7448083729491237,0.00061870523,26
1.033883626450096,0.00016747859,1.906630874120027,0.00061863987,27
1.0178824650549454,0.0001567389,1.9321479394574002,0.00063485355,28
1.0124148236982793,0.00015234265,1.7934722470139,0.00060917845,29
1.0101885618991213,0.00015003765,1.7614292019472129,0.00061077,30
1.0058093951664608,0.00014904518,1.7627435939120473,0.00062769017,31
1.0017021109690984,0.00014664505,1.6635800371296925,0.00066798634,32
0.9975713149708628,0.00014280528,1.740493006841835,0.00069320714,33
0.9837714701375255,0.00013325614,1.8159399155658444,0.00063770753,34
